Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
05/Oct/2019 17:09:31,RockBLOCK 15994,MO,32332e302c3130313330392c20202020312c202033362e3834392c2d3132312e3433342c20202037362c302c30,"36.8523,-121.4253","23.0,101309,    1,  36.849,-121.434,   76,0,0",45,1
05/Oct/2019 17:08:07,RockBLOCK 15994,MO,32322e382c3130313331342c20202020312c202033362e3834392c2d3132312e3433342c20202037362c302c30,"36.863566666666664,-121.38701666666667","22.8,101314,    1,  36.849,-121.434,   76,0,0",45,1
05/Oct/2019 17:07:26,RockBLOCK 15994,MO,32322e362c3130313330362c20202020322c202033362e3834392c2d3132312e3433342c20202037362c302c30,"36.8523,-121.4253","22.6,101306,    2,  36.849,-121.434,   76,0,0",45,1
05/Oct/2019 17:06:41,RockBLOCK 15994,MO,32322e342c3130313331332c20202020312c202033362e3834392c2d3132312e3433342c20202037362c302c30,"36.82345,-121.4253","22.4,101313,    1,  36.849,-121.434,   76,0,0",45,1
05/Oct/2019 17:05:20,RockBLOCK 15994,MO,32322e322c3130313331342c20202020312c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.8666,-121.5487","22.2,101314,    1,1000.000,1000.000,1000000,0,0",47,1
05/Oct/2019 17:04:38,RockBLOCK 15994,MO,32322e322c3130313331322c20202020312c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.877916666666664,-121.51043333333334","22.2,101312,    1,1000.000,1000.000,1000000,0,0",47,1
05/Oct/2019 16:27:41,RockBLOCK 15994,MO,32332e322c3130313534352c20202d31382c202033372e3030332c2d3132312e3535382c20202037312c302c30,"37.041466666666665,-121.5191","23.2,101545,  -18,  37.003,-121.558,   71,0,0",45,1
05/Oct/2019 16:24:21,RockBLOCK 15994,MO,32322e302c3130313239372c20202020322c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.01983333333333,-121.58096666666667","22.0,101297,    2,1000.000,1000.000,1000000,0,0",47,1
05/Oct/2019 15:58:11,RockBLOCK 15994,MO,32322e362c3130313635362c20202d32382c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.36808333333333,-121.78508333333333","22.6,101656,  -28,1000.000,1000.000,1000000,0,0",47,1
05/Oct/2019 15:57:27,RockBLOCK 15994,MO,32322e362c3130313734312c20202d33352c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.276133333333334,-121.90015","22.6,101741,  -35,1000.000,1000.000,1000000,0,0",47,1
05/Oct/2019 15:43:54,RockBLOCK 15994,MO,32322e322c3130313033332c20202032342c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.379783333333336,-122.17306666666667","22.2,101033,   24,1000.000,1000.000,1000000,0,0",47,1
03/Oct/2019 07:48:49,RockBLOCK 15994,MO,31392e352c3130313339332c2020202d362c202033372e3432382c2d3132322e3137342c20202033312c302c30,"37.408433333333335,-122.17306666666667","19.5,101393,   -6,  37.428,-122.174,   31,0,0",45,1
03/Oct/2019 07:48:11,Cy-4,MO,32312e352c3130313239312c20202020332c202033372e3432382c2d3132322e3137342c20202032362c302c30,"37.408433333333335,-122.17306666666667","21.5,101291,    3,  37.428,-122.174,   26,0,0",45,1
03/Oct/2019 07:48:07,RockBLOCK 15994,MO,32302e312c3130313338352c2020202d352c202033372e3432382c2d3132322e3137342c20202039342c302c30,"37.42008333333333,-122.13478333333333","20.1,101385,   -5,  37.428,-122.174,   94,0,0",45,1
03/Oct/2019 07:47:26,RockBLOCK 15994,MO,32312e332c3130313339312c2020202d352c202033372e3432392c2d3132322e3137342c20203134332c302c30,"37.426966666666665,-122.19715","21.3,101391,   -5,  37.429,-122.174,  143,0,0",45,1
03/Oct/2019 07:45:22,RockBLOCK 15994,MO,32322e362c3130313338352c2020202d352c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.4556,-122.19715","22.6,101385,   -5,1000.000,1000.000,1000000,0,0",47,1
03/Oct/2019 07:41:22,Cy-4,MO,32342e382c3130313239342c20202020332c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.483183333333336,-123.8533","24.8,101294,    3,1000.000,1000.000,1000000,0,0",47,1
03/Oct/2019 07:40:40,Cy-4,MO,32352e322c3130313239332c20202020332c313030302e3030302c313030302e3030302c313030303030302c302c30,"37.42008333333333,-122.13478333333333","25.2,101293,    3,1000.000,1000.000,1000000,0,0",47,1
