Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
26/Oct/2019 19:07:13,Cy-4,MO,31322e312c2032363831392c20393930372c202033362e3536382c2d3132302e3533392c31303334362c352c30,"36.562133333333335,-120.94841666666667","12.1, 26819, 9907,  36.568,-120.539,10346,5,0",45,1
26/Oct/2019 18:56:59,Cy-4,MO,31322e352c2032363330392c31303033332c202033362e3537392c2d3132302e3638312c31303436342c352c30,"36.6447,-119.8892","12.5, 26309,10033,  36.579,-120.681,10464,5,0",45,1
26/Oct/2019 18:46:45,Cy-4,MO,31332e332c2032363437312c20393939332c202033362e3538382c2d3132302e3832322c31303430352c352c30,"36.59308333333333,-120.32723333333334","13.3, 26471, 9993,  36.588,-120.822,10405,5,0",45,1
26/Oct/2019 18:36:34,Cy-4,MO,31352e372c2032373834392c20393636302c202033362e3630332c2d3132302e3935362c31303033342c352c30,"36.678466666666665,-120.93305","15.7, 27849, 9660,  36.603,-120.956,10034,5,0",45,1
26/Oct/2019 18:26:21,Cy-4,MO,31392e342c2033343837302c20383134342c202033362e3633362c2d3132312e3037372c20383433382c352c30,"36.645833333333336,-121.03283333333333","19.4, 34870, 8144,  36.636,-121.077, 8438,5,0",45,1
26/Oct/2019 18:16:14,Cy-4,MO,32322e322c2034333739352c20363534302c202033362e3637332c2d3132312e3139342c20363737382c352c30,"36.660466666666665,-121.15573333333333","22.2, 43795, 6540,  36.673,-121.194, 6778,5,0",45,1
26/Oct/2019 18:05:56,Cy-4,MO,32342e332c2035323837372c20353136312c202033362e3731342c2d3132312e3238392c20353333362c352c30,"36.72558333333333,-121.21723333333334","24.3, 52877, 5161,  36.714,-121.289, 5336,5,0",45,1
26/Oct/2019 17:55:40,Cy-4,MO,32352e382c2036323232332c20333932382c202033362e3735352c2d3132312e3335312c20343034392c352c30,"36.78738333333333,-121.36366666666666","25.8, 62223, 3928,  36.755,-121.351, 4049,5,0",45,1
26/Oct/2019 17:45:30,Cy-4,MO,32362e362c2037313636312c20323832382c202033362e3739362c2d3132312e3430342c20323839382c352c30,"36.776133333333334,-121.40193333333333","26.6, 71661, 2828,  36.796,-121.404, 2898,5,0",45,1
26/Oct/2019 17:35:18,Cy-4,MO,32362e352c2038313333322c20313831362c202033362e3833312c2d3132312e3434302c20313833352c352c30,"36.82345,-121.4253","26.5, 81332, 1816,  36.831,-121.440, 1835,5,0",45,1
